,x,y,z,t,activity
591,0.38,-0.92,0.11,24652,Standing
592,0.39,-0.91,0.11,24693,Standing
593,0.4,-0.91,0.1,24734,Standing
594,0.41,-0.91,0.11,24775,Standing
595,0.39,-0.9,0.09,24816,Standing
596,0.42,-0.91,0.11,24857,Standing
597,0.37,-0.95,0.1,24898,Standing
598,0.39,-0.91,0.11,24939,Standing
599,0.37,-0.91,0.11,24980,Standing
600,0.37,-0.9,0.12,25021,Standing
601,0.35,-0.91,0.11,25062,Standing
602,0.4,-0.93,0.1,25103,Standing
603,0.41,-0.93,0.1,25144,Standing
604,0.39,-0.93,0.09,25185,Standing
605,0.41,-0.91,0.09,25226,Standing
606,0.39,-0.92,0.08,25267,Standing
607,0.42,-0.92,0.09,25308,Standing
608,0.38,-0.93,0.09,25349,Standing
609,0.4,-0.92,0.09,25390,Standing
610,0.37,-0.93,0.09,25431,Standing
611,0.39,-0.91,0.09,25472,Standing
612,0.38,-0.93,0.09,25512,Standing
613,0.39,-0.92,0.09,25553,Standing
614,0.37,-0.93,0.08,25594,Standing
615,0.39,-0.92,0.09,25635,Standing
616,0.39,-0.91,0.09,25676,Standing
617,0.39,-0.92,0.09,25717,Standing
618,0.39,-0.93,0.09,25758,Standing
619,0.39,-0.93,0.09,25799,Standing
620,0.37,-0.93,0.1,25840,Standing
621,0.37,-0.93,0.1,25881,Standing
622,0.37,-0.92,0.11,25922,Standing
623,0.35,-0.95,0.11,25963,Standing
624,0.32,-0.93,0.12,26004,Standing
625,0.34,-0.95,0.12,26045,Standing
626,0.37,-0.97,0.08,26086,Standing
627,0.44,-0.91,0.08,26127,Standing
628,0.42,-0.95,0.07,26168,Standing
629,0.39,-0.93,0.09,26209,Standing
630,0.4,-0.94,0.08,26250,Standing
631,0.41,-0.93,0.09,26291,Standing
632,0.39,-0.92,0.1,26332,Standing
633,0.4,-0.91,0.11,26373,Standing
634,0.4,-0.91,0.11,26414,Standing
635,0.39,-0.91,0.12,26455,Standing
